Label=Anomalous
network[son<-parent]=
497<-549: 0.020100502512562814
549<-497: 0.01507537688442211
497<-497: 0.1507537688442211
551<-497: 0.03015075376884422
497<-551: 0.02512562814070352
551<-551: 0.005025125628140704

nodeInfo=(Event,position embedding)
497: 497,2
549: 549,44
551: 551,1


Sequence Order: 549 497 549 497 549 497 549 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 497 551 497 551 497 551 551 497 551 497 551 497 551
