Label=Anomalous
network[son<-parent]=
557<-557: 0.12060301507537688
158<-557: 0.005025125628140704
557<-158: 0.005025125628140704
212<-557: 0.005025125628140704
144<-212: 0.005025125628140704
127<-144: 0.005025125628140704
473<-127: 0.010050251256281407
127<-473: 0.005025125628140704
214<-473: 0.005025125628140704
214<-214: 0.08040201005025126

nodeInfo=(Event,position embedding)
557: 557,24
144: 144,22
212: 212,23
214: 214,1
473: 473,18
158: 158,25
127: 127,19


Sequence Order: 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 158 557 212 144 127 473 127 473 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214
