Label=Normal
network[son<-parent]=
233<-233: 0.03015075376884422
158<-233: 0.005025125628140704
557<-158: 0.005025125628140704
212<-557: 0.005025125628140704
498<-212: 0.005025125628140704
498<-498: 0.19597989949748743

nodeInfo=(Event,position embedding)
233: 233,44
557: 557,42
498: 498,1
212: 212,41
158: 158,43


Sequence Order: 233 233 233 233 233 233 233 158 557 212 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498 498
