Label=Normal
network[son<-parent]=
158<-158: 0.020100502512562814
557<-158: 0.005025125628140704
557<-557: 0.11557788944723618
212<-557: 0.03015075376884422
557<-212: 0.03015075376884422
212<-212: 0.04522613065326633

nodeInfo=(Event,position embedding)
212: 212,4
557: 557,1
158: 158,46


Sequence Order: 158 158 158 158 158 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 557 212 557 212 557 212 212 212 557 557 212 212 212 212 212 212 212 212 557 212 557 557 557 212 557 557 557
