Label=Anomalous
network[son<-parent]=
293<-293: 0.10552763819095477
161<-293: 0.03015075376884422
293<-161: 0.02512562814070352
456<-161: 0.005025125628140704
293<-456: 0.005025125628140704
144<-293: 0.020100502512562814
293<-144: 0.02512562814070352
354<-293: 0.005025125628140704
144<-354: 0.005025125628140704
470<-293: 0.010050251256281407
293<-470: 0.010050251256281407

nodeInfo=(Event,position embedding)
161: 161,19
354: 354,12
293: 293,1
456: 456,18
144: 144,2
470: 470,4


Sequence Order: 293 293 293 161 293 293 293 293 161 293 293 293 293 161 293 293 161 293 293 293 293 293 293 293 293 293 161 293 293 293 293 161 456 293 144 293 144 293 354 144 293 293 144 293 470 293 470 293 144 293
