Label=Anomalous
network[son<-parent]=
557<-557: 0.05527638190954774
354<-557: 0.020100502512562814
456<-354: 0.010050251256281407
557<-456: 0.01507537688442211
470<-354: 0.005025125628140704
456<-470: 0.005025125628140704
293<-354: 0.005025125628140704
293<-293: 0.1306532663316583

nodeInfo=(Event,position embedding)
354: 354,28
293: 293,1
456: 456,38
557: 557,29
470: 470,39


Sequence Order: 557 557 557 557 354 456 557 354 456 557 354 470 456 557 557 557 557 557 557 557 557 557 354 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293
