Label=Anomalous
network[son<-parent]=
265<-265: 0.04522613065326633
315<-265: 0.005025125628140704
315<-315: 0.08542713567839195
572<-315: 0.005025125628140704
275<-572: 0.005025125628140704
374<-275: 0.005025125628140704
185<-374: 0.005025125628140704
42<-185: 0.005025125628140704
158<-42: 0.005025125628140704
158<-158: 0.08040201005025126

nodeInfo=(Event,position embedding)
265: 265,41
42: 42,18
275: 275,21
374: 374,20
185: 185,19
315: 315,23
572: 572,22
158: 158,1


Sequence Order: 265 265 265 265 265 265 265 265 265 265 315 315 315 315 315 315 315 315 315 315 315 315 315 315 315 315 315 315 572 275 374 185 42 158 158 158 158 158 158 158 158 158 158 158 158 158 158 158 158 158
