Label=Anomalous
network[son<-parent]=
293<-293: 0.19095477386934673
470<-293: 0.005025125628140704
470<-470: 0.005025125628140704
456<-470: 0.005025125628140704
354<-456: 0.010050251256281407
456<-354: 0.005025125628140704
307<-354: 0.005025125628140704
307<-307: 0.010050251256281407
569<-307: 0.005025125628140704
569<-569: 0.005025125628140704

nodeInfo=(Event,position embedding)
354: 354,6
293: 293,12
456: 456,7
307: 307,3
470: 470,10
569: 569,1


Sequence Order: 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 470 470 456 354 456 354 307 307 307 569 569
