Label=Anomalous
network[son<-parent]=
422<-422: 0.09045226130653267
10<-422: 0.005025125628140704
158<-10: 0.005025125628140704
557<-158: 0.05025125628140704
212<-557: 0.04522613065326633
158<-212: 0.04020100502512563
87<-212: 0.005025125628140704
158<-87: 0.005025125628140704

nodeInfo=(Event,position embedding)
422: 422,32
10: 10,31
557: 557,1
212: 212,3
87: 87,6
158: 158,2


Sequence Order: 422 422 422 422 422 422 422 422 422 422 422 422 422 422 422 422 422 422 422 10 158 557 212 158 557 212 158 557 212 158 557 212 158 557 212 158 557 212 158 557 212 158 557 212 87 158 557 212 158 557
