Label=Anomalous
network[son<-parent]=
517<-517: 0.04522613065326633
61<-517: 0.02512562814070352
517<-61: 0.02512562814070352
541<-517: 0.005025125628140704
541<-541: 0.010050251256281407
61<-541: 0.01507537688442211
61<-61: 0.11055276381909548
541<-61: 0.010050251256281407

nodeInfo=(Event,position embedding)
541: 541,25
61: 61,1
517: 517,6


Sequence Order: 517 517 517 517 61 517 517 517 517 517 517 541 541 61 61 61 61 61 61 61 541 61 61 61 541 541 61 61 61 61 61 61 61 517 61 517 517 61 61 517 61 61 61 61 517 61 61 61 61 61
