Label=Normal
network[son<-parent]=
557<-557: 0.12562814070351758
212<-557: 0.010050251256281407
557<-212: 0.005025125628140704
158<-557: 0.010050251256281407
158<-158: 0.07537688442211055
517<-158: 0.005025125628140704
158<-517: 0.005025125628140704
557<-158: 0.010050251256281407

nodeInfo=(Event,position embedding)
517: 517,22
212: 212,1
557: 557,2
158: 158,8


Sequence Order: 557 557 557 557 557 557 212 557 557 557 557 557 557 557 557 158 158 158 158 158 158 158 158 158 158 158 158 158 517 158 158 158 158 557 557 557 557 557 557 557 557 557 158 557 557 557 557 557 557 212
