Label=Anomalous
network[son<-parent]=
557<-557: 0.10552763819095477
212<-557: 0.020100502512562814
557<-212: 0.01507537688442211
144<-212: 0.005025125628140704
43<-144: 0.005025125628140704
43<-43: 0.005025125628140704
144<-43: 0.005025125628140704
177<-144: 0.005025125628140704
222<-177: 0.005025125628140704
222<-222: 0.07537688442211055

nodeInfo=(Event,position embedding)
43: 43,19
557: 557,23
144: 144,18
177: 177,17
212: 212,22
222: 222,1


Sequence Order: 557 557 557 557 212 557 557 557 557 557 557 557 557 557 557 212 557 557 557 557 557 557 557 557 212 557 557 557 212 144 43 43 144 177 222 222 222 222 222 222 222 222 222 222 222 222 222 222 222 222
