Label=Anomalous
network[son<-parent]=
557<-557: 0.04522613065326633
19<-557: 0.005025125628140704
158<-19: 0.005025125628140704
557<-158: 0.005025125628140704
144<-557: 0.005025125628140704
144<-144: 0.010050251256281407
214<-144: 0.005025125628140704
214<-214: 0.135678391959799
473<-214: 0.01507537688442211
214<-473: 0.01507537688442211

nodeInfo=(Event,position embedding)
557: 557,38
144: 144,35
19: 19,40
214: 214,1
473: 473,7
158: 158,39


Sequence Order: 557 557 557 557 557 557 557 557 557 557 19 158 557 144 144 144 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 214 473 214 214 214 214 473 214 473 214 214 214 214 214 214
