Label=Normal
network[son<-parent]=
265<-462: 0.04522613065326633
546<-265: 0.035175879396984924
546<-546: 0.010050251256281407
462<-546: 0.035175879396984924
462<-462: 0.005025125628140704
265<-265: 0.005025125628140704
462<-265: 0.005025125628140704
267<-265: 0.005025125628140704
267<-267: 0.09547738693467336
546<-267: 0.005025125628140704

nodeInfo=(Event,position embedding)
265: 265,2
546: 546,1
267: 267,8
462: 462,3


Sequence Order: 462 265 546 546 462 462 265 265 546 462 265 546 546 462 265 462 265 546 462 265 546 462 265 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 267 546 462 265 546 462 265 546
