Label=Normal
network[son<-parent]=
523<-523: 0.21608040201005024
570<-523: 0.005025125628140704
570<-570: 0.005025125628140704
158<-570: 0.005025125628140704
557<-158: 0.005025125628140704
212<-557: 0.005025125628140704
523<-212: 0.005025125628140704

nodeInfo=(Event,position embedding)
523: 523,1
557: 557,9
212: 212,8
570: 570,11
158: 158,10


Sequence Order: 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 523 570 570 158 557 212 523 523 523 523 523 523 523
