Label=Anomalous
network[son<-parent]=
293<-293: 0.1407035175879397
456<-293: 0.01507537688442211
354<-456: 0.01507537688442211
293<-354: 0.020100502512562814
579<-293: 0.005025125628140704
579<-579: 0.020100502512562814
307<-579: 0.010050251256281407
307<-307: 0.010050251256281407
579<-307: 0.005025125628140704
354<-307: 0.005025125628140704

nodeInfo=(Event,position embedding)
354: 354,2
579: 579,5
293: 293,1
456: 456,16
307: 307,3


Sequence Order: 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 456 354 293 456 354 293 456 354 293 293 579 579 579 579 579 307 307 579 307 307 354 293
