Label=Normal
network[son<-parent]=
462<-546: 0.08040201005025126
265<-462: 0.07537688442211055
546<-265: 0.07035175879396985
118<-265: 0.005025125628140704
315<-118: 0.005025125628140704
315<-315: 0.005025125628140704
546<-315: 0.005025125628140704

nodeInfo=(Event,position embedding)
546: 546,2
265: 265,3
462: 462,1
118: 118,38
315: 315,36


Sequence Order: 546 462 265 546 462 265 546 462 265 546 462 265 118 315 315 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462 265 546 462
