Label=Anomalous
network[son<-parent]=
103<-103: 0.21608040201005024
339<-103: 0.005025125628140704
103<-339: 0.005025125628140704
447<-103: 0.005025125628140704
103<-447: 0.005025125628140704
213<-103: 0.005025125628140704
103<-213: 0.005025125628140704

nodeInfo=(Event,position embedding)
447: 447,30
339: 339,36
213: 213,21
103: 103,1


Sequence Order: 103 103 103 103 103 103 103 103 103 103 103 103 103 103 339 103 103 103 103 103 447 103 103 103 103 103 103 103 103 213 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103 103
