Label=Anomalous
network[son<-parent]=
523<-523: 0.06532663316582915
541<-523: 0.005025125628140704
541<-541: 0.01507537688442211
235<-541: 0.005025125628140704
235<-235: 0.035175879396984924
98<-235: 0.005025125628140704
98<-98: 0.01507537688442211
17<-98: 0.005025125628140704
17<-17: 0.09547738693467336

nodeInfo=(Event,position embedding)
98: 98,21
523: 523,37
235: 235,25
17: 17,1
541: 541,33


Sequence Order: 523 523 523 523 523 523 523 523 523 523 523 523 523 523 541 541 541 541 235 235 235 235 235 235 235 235 98 98 98 98 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
