Label=Anomalous
network[son<-parent]=
302<-302: 0.03015075376884422
352<-302: 0.005025125628140704
352<-352: 0.035175879396984924
475<-352: 0.005025125628140704
235<-475: 0.005025125628140704
235<-235: 0.035175879396984924
44<-235: 0.005025125628140704
44<-44: 0.12562814070351758

nodeInfo=(Event,position embedding)
352: 352,36
235: 235,27
44: 44,1
302: 302,44
475: 475,35


Sequence Order: 302 302 302 302 302 302 302 352 352 352 352 352 352 352 352 475 235 235 235 235 235 235 235 235 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44
