Label=Normal
network[son<-parent]=
245<-245: 0.21105527638190955
158<-245: 0.005025125628140704
245<-158: 0.005025125628140704
131<-245: 0.010050251256281407
131<-131: 0.005025125628140704
245<-131: 0.010050251256281407

nodeInfo=(Event,position embedding)
131: 131,19
245: 245,1
158: 158,32


Sequence Order: 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 158 245 245 245 245 245 245 245 245 245 131 131 245 131 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245 245
