Label=Anomalous
network[son<-parent]=
541<-541: 0.1507537688442211
523<-541: 0.005025125628140704
523<-523: 0.06532663316582915
570<-523: 0.005025125628140704
158<-570: 0.005025125628140704
557<-158: 0.005025125628140704
212<-557: 0.005025125628140704
523<-212: 0.005025125628140704

nodeInfo=(Event,position embedding)
523: 523,1
557: 557,15
212: 212,14
570: 570,17
541: 541,20
158: 158,16


Sequence Order: 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 541 523 523 570 158 557 212 523 523 523 523 523 523 523 523 523 523 523 523 523
